"","Country","Document","DocYear","Element","ElementLabel","ElementText","HazardType","SystemType","Sector","SectorType","TargetTime","TargetValue","TargetUnit","TargetMetric","TargetBaseYear","TargetBaseValue","TargetType","new_ID"
"25","Angola","NDC",2021,"System at risk","Impacts","The impacts of climate change in Angola are likely to be strongly felt in fisheries (…)","","Fisheries and aquaculture","","Food, fiber, other ecosystem products","","","","","","","",NA
"27","Angola","NDC",2021,"System at risk","Impacts","The impacts of the indirect effects of climate change such as floods, severe droughts and soil erosion will have implications for the increase in displacement and loss of species and also for the increased risk of fire in forests","","Forest","","Food, fiber, other ecosystem products","","","","","","","",NA
"37","Angola","NDC",2021,"Action","Measure","Conduct studies on the impact of climate change on fishing productivity and coastal economies","","","Agriculture and Fisheries","Food, fiber, other ecosystem products","","","","","","","",NA
"38","Angola","NDC",2021,"Action","Measure","Develop community and school gardens","","","Agriculture and Fisheries","Food, fiber, other ecosystem products","","","","","","","",NA
"39","Angola","NDC",2021,"Action","Measure","Apply the national collection of local seeds in programs to improve and create adapted local varieties","","","Agriculture and Fisheries","Food, fiber, other ecosystem products","","","","","","","",NA
"48","Angola","NDC",2021,"Action","Measure","Conduct a study on the impact of changing the geographical distribution of animal diseases (infectious and parasitic) and the availability of water on the country's animal production levels","","","Agriculture and Fisheries","Food, fiber, other ecosystem products","","1","Number"," studies on animal diseases","","","measurable",NA
"49","Angola","NDC",2021,"Action","Measure","Replicate the project “Promotion of sustainable charcoal in Angola through a Value Chain Approach” in the Luanda-Uíge corridor","","","Agriculture and Fisheries","Food, fiber, other ecosystem products","","","","","","","",NA
"89","Benin","NDC",2021,"System at risk","none","Agriculture:  Impacts observed over the past three decades include declining agricultural yields, disruption of agricultural calendars, lower water levels in dams, supply of drinking water attributable to the increase in evaporation of the order of 3 to 4% on an annual scale (Houngue et al. 2019), the extension of the low water period (1 to 3 months), the flooding of banks, etc.","","Crop","","Food, fiber, other ecosystem products","","","","","","","",NA
"95","Benin","NDC",2021,"Objective","Objective","Improve the performance of Beninese agriculture, to make it capable of sustainably ensuring food and nutritional sovereignty, contributing to the economic and social development of the men and women of Benin and the achievement of the Sustainable Development Goals (SDGs) including SDGs 1, 2, 12, and 13. ","","","Agriculture","Food, fiber, other ecosystem products","2025","","","","","","timebound",NA
"106","Benin","NDC",2021,"Objective","Objective","Contribute to the food security of the population in relation to plant production and ncrease the volume and export earnings of Benin","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"107","Benin","NDC",2021,"Objective","Objective","Contribute to the food self-sufficiency of rural poor populations, mainly small farmers in the area of intervention","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"108","Benin","NDC",2021,"Objective","Objective","Improve self-sufficiency and food security of poor rural populations of Benin, mainly small farmers.","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"109","Benin","NDC",2021,"Objective","Objective","Strengthen the agricultural capacities of municipalities and agricultural cooperatives in the Collines department and  improve
the living conditions of small producers","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"110","Benin","NDC",2021,"Objective","Objective","Sustainable soil protection and rehabilitation approaches are implemented on a large scale in Benin","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"111","Benin","NDC",2021,"Objective","Objective","Increase and diversify agricultural production by increasing the use of the developed hydro-agricultural potential of the Atacora and Donga departments to contribute to the implementation of the strategic reference frameworks ""Strategic Plan for the Development of the Agricultural Sector of 2017-2021 ( PSDSA) and National Plan for Agricultural Investment and Food and Nutritional Security (PNIASAN)” in accordance with the protocol of the 2019 intergovernmental negotiations","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"112","Benin","NDC",2021,"Objective","Objective","The income of small farms, the creation employment and food supply in the target rural areas are improved through innovations in the agri-food sector.","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"113","Benin","NDC",2021,"Objective","Objective","Sustainably anchor the promotion of CVAs in 02 Agricultural Development Poles","","","Agriculture","Food, fiber, other ecosystem products","","2","Number"," Agricultural Development Poles","","","measurable",NA
"114","Benin","NDC",2021,"Objective","Objective","Sustainably increase the income of vegetable farms, while improving their resilience to climate change","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"115","Benin","NDC",2021,"Objective","Objective","Contribute to improving food security and nutrition and poverty reduction. ","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"116","Benin","NDC",2021,"Objective","Objective","Sustainably improve food and nutrition security, and the incomes of small producers, in particular women and youth.","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"117","Benin","NDC",2021,"Objective","Objective","Contribute to the reduction of poverty and the improvement of food and nutritional security in Benin","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"118","Benin","NDC",2021,"Objective","Objective","Improve access for producers and SMEs from the agro-food industry to export markets in some value chains","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"119","Benin","NDC",2021,"Objective","Objective","Improve food security and reduce rural poverty by developing small irrigated perimeters to increase the production and productivity of cereals, vegetables and other food crops.","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"120","Benin","NDC",2021,"Objective","Objective","Restore and improve field productivity and value added post-harvest from the targeted value chains (rice, fish,pineapple and cashew) and promote new areas intervention such as small livestock (poultry, goats and sheep)","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"121","Benin","NDC",2021,"Objective","Objective","Increase the productivity of production systems in rainfed and irrigated agriculture through, among other things, the promotion of Integrated Soil Fertility Management (ISFM) on farms","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"122","Benin","NDC",2021,"Objective","Objective","Sustainable improvement of the income of family farms in the cotton-growing areas of Benin.","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"123","Benin","NDC",2021,"Objective","Objective","Contribute to improving producers' incomes and increasing the financial accessibility of proteins in rural areas","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"124","Benin","NDC",2021,"Objective","Objective","Large-scale promotion of efficient, resilient and integrated irrigated agricultural production systems in priority agricultural value chains.","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"125","Benin","NDC",2021,"Objective","Objective","Promote job creation through the creation of viable agricultural enterprises for young people and women.","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"126","Benin","NDC",2021,"Objective","Objective","Strengthen the structure and capacities of agricultural and non-agricultural professional organizations and improve the technical and economic performance of MSEs and agricultural or non-agricultural IGAs","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"127","Benin","NDC",2021,"Objective","Objective","Facilitate access to financing for MSEs and agricultural or non-agricultural IGAs","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"128","Benin","NDC",2021,"Objective","Objective","Improve access to production and marketing support infrastructure.","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"129","Benin","NDC",2021,"Objective","Objective","Contribute to the improvement of animal production and the rational management of farms","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"130","Benin","NDC",2021,"Objective","Objective","Contribute to the food and nutritional security of populations and reduce the volume and cost of milk and meat imports.","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"131","Benin","NDC",2021,"Objective","Objective","Intensify fish production in the target regions through the “farmer to farmer” extension approach and improved fish farming techniques.","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"174","Benin","NDC",2021,"Action","Measure","Infrastructure Support Project in the Valley of Ouémé (PAIA-VO) (2013-2020). Pilot phase in implementation course","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"175","Benin","NDC",2021,"Action","Measure","Food Security Project through the Development of
Inland valleys and capacity building for
Storage in Benin (PSAAB)","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"176","Benin","NDC",2021,"Action","Measure","Food Security through Agricultural Intensification Project in Benin (PSAIA)","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"177","Benin","NDC",2021,"Action","Measure","Agriculture Development Support Project in the Hills (PADAC)","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"178","Benin","NDC",2021,"Action","Measure","Soil protection and rehabilitation project for improving food security (PROSOL)","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"179","Benin","NDC",2021,"Action","Measure","Agricultural Investment Fund (Fi-Agri) Phase 4","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"180","Benin","NDC",2021,"Action","Measure","Project of Green Innovation Centers for the Agrifood Sector (ProCIVA)","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"181","Benin","NDC",2021,"Action","Measure","ProSAR","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"182","Benin","NDC",2021,"Action","Measure","ProAgri3 and 4","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"183","Benin","NDC",2021,"Action","Measure","Project to support the development of market gardening","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
"184","Benin","NDC",2021,"Action","Measure","Support Project for Food Production and strengthening of resilience in the departments of Alibori, Borgou and PAPVIRE-ABC Hills","","","Agriculture","Food, fiber, other ecosystem products","","","","","","","",NA
