Country,Document,DocYear,Element,ElementLabel,ElementText,Sector,TargetTime,TargetValue,TargetUnit ,TargetMetric,TargetBaseYear,TargetBaseValue,IndicatorType,Specific,Measurable,Achievable,Relevant,Timebound
Algeria,NDC,2016,Hazard,Hazard,long cycles of drought,Crosscutting,,,,,,,,,,,,
Algeria,NDC,2016,Hazard,Hazard,floods,Crosscutting,,,,,,,,,,,,
Algeria,NDC,2016,Hazard,Hazard,"land degradation, soil erosion, desertification",Crosscutting,,,,,,,,,,,,
Algeria,NDC,2016,System at risk,none,more than 50 million of hectares face highly deteriorated conditions,,,,,,,,,,,,,
Algeria,NDC,2016,System at risk,none,"Rural population -composed mainly of farmers and breeders is  forced into exodus to large cities, for survival",,,,,,,,,,,,,
Algeria,NDC,2016,System at risk,none,This situation is the direct result of land impoverishment and the decline in water resources,,,,,,,,,,,,,
Algeria,NDC,2016,System at risk,none,Several regions witnessed tragic events resulting in heavy losses human lives,,,,,,,,,,,,,
Algeria,NDC,2016,System at risk,none,Several regions witnessed tragic events resulting in considerable material damages,,,,,,,,,,,,,
Algeria,NDC,2016,Objective,Objective,To reinforce the ecosystems resilience (flooding and drought) in order to curtail the risks of natural disasters related to climate change; ,Not specified,,,,,,,,,,,,
Algeria,NDC,2016,Objective,Objective,To fight against erosion and rehabilitate its degraded lands as part of the efforts to combat desertification,Not specified,,,,,,,,,,,,
Algeria,NDC,2016,Objective,Objective,"To integrate the impacts of climate change into sectorial strategies, in particular for agriculture, water management, public health and transport; ",Not specified,,,,,,,,,,,,
Algeria,NDC,2016,Objective,Objective,To integrate the impacts of climate change on political stability and national security. ,Not specified,,,,,,,,,,,,
Algeria,NDC,2016,Action,Measure,Adapting the institutional and regulatory framework to climate change,Not specified,,,,,,,,,,,,
Algeria,NDC,2016,Action,Measure,Reinforcing institutional and human capacities in combating climate change,Not specified,,,,,,,,,,,,
Algeria,NDC,2016,Action,Measure,Establishing a monitoring and early warning system and capacity building with regard to extreme climate events managemen,Not specified,,,,,,,,,,,,
Algeria,NDC,2016,Action,Measure,Elaborating regional and local plans for adaptation to climate change,Not specified,,,,,,,,,,,,
Angola,NDC,2021,Hazard,none,"Drought: They will tend to increase in frequency and intensity in the coastal area, but with significant consolidation in the central and western regions of the country; Increased frequency and intensity of periods of drought and water scarcity ",Crosscutting,,,,,,,,,,,,
Angola,NDC,2021,Hazard,none,"Floods: Expected to increase the frequency of floods as well as their intensity, however interspersed with more consolidated periods of drought",Crosscutting,,,,,,,,,,,,
Angola,NDC,2021,Hazard,none,Heat waves: Expected to increase the frequency ,Crosscutting,,,,,,,,,,,,
Angola,NDC,2021,Hazard,none,Storm surges: Expected to increase the frequency,Crosscutting,,,,,,,,,,,,
Angola,NDC,2021,Hazard,none,Angola is vulnerable to the rise in the average sea level ,Crosscutting,,,,,,,,,,,,
Angola,NDC,2021,Hazard,none,Acidification of the sea and fresh water,Crosscutting,,,,,,,,,,,,
Angola,NDC,2021,Hazard,none,"Wildfires: As global temperatures rise, wildfires are getting more frequent and intense",Crosscutting,,,,,,,,,,,,
